address;city;floor;id;latitude;longitude;price;rooms;sq;year
Podgórze Zab³ocie Stanis³awa Klimeckiego;Kraków;2.0;23918.0;500.492.242;199.703.793;749000.0;3.0;74.05;2021.0
Praga-Po³udnie Grochowska;Warszawa;3.0;17828.0;522.497.745;211.068.857;240548.0;1.0;24.38;2021.0
Krowodrza Czarnowiejska;Kraków;2.0;22784.0;500.669.642;199.200.249;427000.0;2.0;37.0;1970.0
Grunwald;Poznañ;2.0;4315.0;52.404.212;16.882.542;1290000.0;5.0;166.0;1935.0
Ochota Gotowy budynek. Stan deweloperski. Ostatnie mieszkanie. ;Warszawa;1.0;11770.0;52.212.225;209.726.299;996000.0;5.0;105.0;2020.0
Nowa Huta Czy¿yny ul. WoŸniców;Kraków;2.0;26071.0;500.469.432;19.997.153.435.836.600;414600.0;1.0;34.55;2022.0
Podgórze P³aszów Koszykarska;Kraków;0.0;22569.0;500.498.929;199.906.026;750000.0;4.0;81.4;2021.0
Mokotów Pory;Warszawa;10.0;13308.0;521.840.585;21.044.302;2890000.0;6.0;280.0;2003.0
Ursynów Wy¿yny;Warszawa;3.0;11387.0;521.402.821;210.563.452;615000.0;4.0;63.4;1982.0
Bemowo;Warszawa;1.0;10904.0;522.389.738;209.132.881;429000.0;1.0;40.0;1999.0
Œródmieœcie;Warszawa;0.0;16251.0;522.328.098;21.019.067;375000.0;1.0;29.0;1968.0
Praga-Po³udnie Goc³aw;Warszawa;2.0;13355.0;522.286.331;211.065.722;520000.0;3.0;67.0;1989.0
Bia³o³êka;Warszawa;0.0;15740.0;523.196.649;210.211.773;400000.0;3.0;57.0;2020.0
Nowe Miasto Malta Florentyny Luboiñskiej 5;Poznañ;0.0;6081.0;523.916.079;1.699.406.261.278.810;421427.0;3.0;60.29;2019.0
Wola;Warszawa;0.0;12035.0;522.362.379;209.547.815;591771.83;2.0;52.27;2021.0
Grunwald Œwierzawska;Poznañ;8.0;1085.0;524.006.632;1.691.973.259.178.080;547000.0;4.0;77.39;2020.0
Bia³o³êka;Warszawa;2.0;10118.0;523.196.649;210.211.773;489000.0;2.0;52.0;2005.0
Grunwald Górczyn ul. Ceglana;Poznañ;1.0;3518.0;523.709.933;168.631.459;618636.0;3.0;66.52;2020.0
Krowodrza Stanis³awa Konarskiego;Kraków;2.0;27706.0;500.840.413;1.997.816.046.757.790;280000.0;1.0;16.2;1930.0
Praga-Po³udnie;Warszawa;1.0;9813.0;522.373.961;210.712.578;393800.0;1.0;35.8;2021.0
Ursynów ul. Nowoursynowska;Warszawa;0.0;10053.0;5.216.658.235;21.040.685.660.341.000;869000.0;3.0;67.4;2008.0
Ochota Stara Ochota;Warszawa;3.0;12716.0;5.221.691;2.097.827;950000.0;3.0;72.0;1960.0
